2024-07-05 20:11:06,697 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.06666666666666667 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7201133370399475, var = 0.0012565276119858027 || Train Acc: avg = 0.722800076007843, var = 0.0015796138904988766
2024-07-05 20:51:41,270 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.07142857142857142 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7229467034339905, var = 0.0006393059156835079 || Train Acc: avg = 0.7282199859619141, var = 0.0008031774777919054
2024-07-05 21:32:15,618 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.07692307692307693 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7257833480834961, var = 0.0008555436506867409 || Train Acc: avg = 0.7313600182533264, var = 0.0011222875909879804
2024-07-05 22:12:47,252 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.08333333333333333 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7193766832351685, var = 0.00043526390800252557 || Train Acc: avg = 0.722000002861023, var = 0.0004921447252854705
2024-07-05 22:53:19,180 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.09090909090909091 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7303866147994995, var = 0.0004754632245749235 || Train Acc: avg = 0.7357400059700012, var = 0.00047394318971782923
2024-07-05 23:33:51,591 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.1 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7520433068275452, var = 0.0001349673402728513 || Train Acc: avg = 0.7520000338554382, var = 8.429527224507183e-05
2024-07-06 00:14:23,063 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.1111111111111111 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7558799982070923, var = 0.0001885000237962231 || Train Acc: avg = 0.7596799731254578, var = 0.00019723731384146959
2024-07-06 00:54:51,717 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.125 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.747303307056427, var = 0.0005286622908897698 || Train Acc: avg = 0.7508999705314636, var = 0.0004578646912705153
2024-07-06 01:35:24,096 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.14285714285714285 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.746066689491272, var = 0.0003121577901765704 || Train Acc: avg = 0.7498400807380676, var = 0.0002809633151628077
2024-07-06 02:15:52,778 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.16666666666666666 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7636700868606567, var = 0.0003225344407837838 || Train Acc: avg = 0.7689599990844727, var = 0.00019595342746470124
2024-07-06 02:56:26,162 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.2 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7641199827194214, var = 0.00025934833684004843 || Train Acc: avg = 0.7740799784660339, var = 0.00024525230401195586
